arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
never made that connection before ,that is very true.,comparison,but,mid,never made that connection before but that is very true.,I never noticed if it is. I will say the lana del rey song young and beautiful song lyrics make me think back to When I'm 64.,Other,Accept,None,None,"('Negative', 1.0)","('Positive', 1.0)",[],[],['sport'],['sport'],['Religion'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 875, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['that connection'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c7102128>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the fighting', 'id': 873, 'status': None, 'engaged': [], 'lexeme': 'the fighting', 'alias': ['the fighting'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c644c908>}, 'gkg': 'kg:/m/06sqgj', 'granular_actor_types': {'act': 0.29411764705882354, 'event': 0.23529411764705882}, 'granular_entity_types': {'2003 film': 1}, 'gkg_name': 'The Fighting Temptations', 'gkg_type': ['Movie']}, {'name': 'so cool', 'id': 874, 'status': None, 'engaged': [], 'lexeme': 'so cool', 'alias': ['so cool'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c644c128>}, 'gkg': 'kg:/m/04n68kt', 'granular_actor_types': {}, 'granular_entity_types': {'rock band': 1}, 'gkg_name': 'So Cool', 'gkg_type': ['MusicGroup']}]","[{'name': None, 'id': 875, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['that connection'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c7102128>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,that connection,,[],[],True,True
paul wrote it for john's son julian who he felt bad before ,his parents were divorcing.,contingency,because,mid,i believe it wasn't a preconceived album. paul wrote it for john's son julian who he felt bad before because his parents were divorcing.,I think it was thrown together on Capital records to fulfill a commitment.,Other,Other,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],[],['entertainment'],['entertainment'],['Literature'],['Celebrities'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 876, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['paul'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b9f60>}, 'gkg': None, 'granular_actor_types': {'person': 0.2}, 'granular_entity_types': {}}, {'name': None, 'id': 877, 'status': None, 'engaged': [], 'lexeme': None, 'alias': [""john 's""], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6d59e10>, 'son julian': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6e34470>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 876, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['paul'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b9f60>}, 'gkg': None, 'granular_actor_types': {'person': 0.2}, 'granular_entity_types': {}}, {'name': None, 'id': 877, 'status': None, 'engaged': [], 'lexeme': None, 'alias': [""john 's""], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6d59e10>, 'son julian': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6e34470>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,paul,,[],[],True,True
paul wrote it for john's son julian who he felt bad ,because his parents were divorcing.,temporal,before,mid,i believe it wasn't a preconceived album. paul wrote it for john's son julian who he felt bad before because his parents were divorcing.,I think it was thrown together on Capital records to fulfill a commitment.,Other,Other,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],[],['entertainment'],['entertainment'],['Literature'],['Politics'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 876, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['paul'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b9f60>}, 'gkg': None, 'granular_actor_types': {'person': 0.2}, 'granular_entity_types': {}}, {'name': None, 'id': 877, 'status': None, 'engaged': [], 'lexeme': None, 'alias': [""john 's""], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6d59e10>, 'son julian': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6e34470>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 876, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['paul'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b9f60>}, 'gkg': None, 'granular_actor_types': {'person': 0.2}, 'granular_entity_types': {}}, {'name': None, 'id': 877, 'status': None, 'engaged': [], 'lexeme': None, 'alias': [""john 's""], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6d59e10>, 'son julian': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6e34470>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,paul,,[],[],True,True
"correct,and obviously it was a huge hit,",not an album they planned.,comparison,but,mid,"correct,and obviously it was a huge hit,but not an album they planned.",I believe it wasn't a preconceived album. Paul wrote it for John's son Julian who he felt bad before because his parents were divorcing.,nAnswer,Reject,None,None,"('Positive', 1.0)","('Negative', 1.0)",[],[],['entertainment'],['entertainment'],['Other'],['Music'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 879, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['hit'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c72e7fd0>}, 'gkg': None, 'granular_actor_types': {'act': 0.3125, 'event': 0.25}, 'granular_entity_types': {}}]","[{'name': None, 'id': 880, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['an album'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c711f2b0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 879, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['hit'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c72e7fd0>}, 'gkg': None, 'granular_actor_types': {'act': 0.3125, 'event': 0.25}, 'granular_entity_types': {}}]",,,hit,an album,[],[],True,True
"i think capital just took some singles and put them together on an,album and hey jude became the title track ",of its success.,contingency,because,mid,"i think capital just took some singles and put them together on an,album and hey jude became the title track because of its success.","Correct,and obviously it was a huge hit,but not an album they planned.",Clarify,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)","[('MusicAlbum', 177.06874499999998, 'On an Island'), ('MusicAlbum', 858.064758, 'Hey Jude'), ('Thing', 550.31128, 'Title Track')]",[],['entertainment'],['business'],['Music'],['Other'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 881, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['capital'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64a8e80>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 882, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['some singles'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c7394c18>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 884, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['album'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64b6cf8>}, 'gkg': None, 'granular_actor_types': {'object': 0.15384615384615385}, 'granular_entity_types': {}}, {'name': 'on an', 'id': 883, 'status': None, 'engaged': [], 'lexeme': 'on an', 'alias': ['on an'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6dd4f98>}, 'gkg': 'kg:/m/0dyvrzw', 'granular_actor_types': {}, 'granular_entity_types': {'studio album by chris thomas, david gilmour, and phil manzanera': 1}, 'gkg_name': 'On an Island', 'gkg_type': ['MusicAlbum']}, {'name': 'hey jude', 'id': 226, 'status': None, 'engaged': [], 'lexeme': 'hey jude', 'alias': ['hey jude'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90ca1484e0>}, 'gkg': 'kg:/m/01hg6mj', 'granular_actor_types': {}, 'granular_entity_types': {'album by the beatles': 1}, 'gkg_name': 'Hey Jude', 'gkg_type': ['MusicAlbum']}, {'name': 'title track', 'id': 885, 'status': None, 'engaged': [], 'lexeme': 'title track', 'alias': ['title track'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b0d68>}, 'gkg': 'kg:/g/1q5j52p80', 'granular_actor_types': {}, 'granular_entity_types': {'song by death cab for cutie': 1}, 'gkg_name': 'Title Track', 'gkg_type': ['Thing']}, {'name': None, 'id': 880, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['an album'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c711f2b0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 881, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['capital'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64a8e80>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 882, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['some singles'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c7394c18>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 884, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['album'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64b6cf8>}, 'gkg': None, 'granular_actor_types': {'object': 0.15384615384615385}, 'granular_entity_types': {}}, {'name': 'on an', 'id': 883, 'status': None, 'engaged': [], 'lexeme': 'on an', 'alias': ['on an'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6dd4f98>}, 'gkg': 'kg:/m/0dyvrzw', 'granular_actor_types': {}, 'granular_entity_types': {'studio album by chris thomas, david gilmour, and phil manzanera': 1}, 'gkg_name': 'On an Island', 'gkg_type': ['MusicAlbum']}, {'name': 'hey jude', 'id': 226, 'status': None, 'engaged': [], 'lexeme': 'hey jude', 'alias': ['hey jude'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90ca1484e0>}, 'gkg': 'kg:/m/01hg6mj', 'granular_actor_types': {}, 'granular_entity_types': {'album by the beatles': 1}, 'gkg_name': 'Hey Jude', 'gkg_type': ['MusicAlbum']}, {'name': 'title track', 'id': 885, 'status': None, 'engaged': [], 'lexeme': 'title track', 'alias': ['title track'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b0d68>}, 'gkg': 'kg:/g/1q5j52p80', 'granular_actor_types': {}, 'granular_entity_types': {'song by death cab for cutie': 1}, 'gkg_name': 'Title Track', 'gkg_type': ['Thing']}]","On an Island, Title Track, Hey Jude",,"capital, some singles, album",,"[('MusicAlbum', 177.06874499999998, 'On an Island'), ('MusicAlbum', 858.064758, 'Hey Jude'), ('Thing', 550.31128, 'Title Track')]",[],True,True
"they started out that way, ",then became studio musicians,comparison,but,mid,"they started out that way, but then became studio musicians",Weren't they a pop band?,Reject,Continuer,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('Thing', 514.64175, 'That Way')]","[('Thing', 370.92633, 'Studio Musicians')]",['tech'],['entertainment'],['Sports'],['Other'],None,None,[],['music'],[],[],None,None,"[{'name': 'that way', 'id': 886, 'status': None, 'engaged': [], 'lexeme': 'that way', 'alias': ['that way'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c9550b00>}, 'gkg': 'kg:/g/1q5jqnrgb', 'granular_actor_types': {}, 'granular_entity_types': {'song by wale': 1}, 'gkg_name': 'That Way', 'gkg_type': ['Thing']}]","[{'name': 'studio musicians', 'id': 887, 'status': None, 'engaged': [], 'lexeme': 'studio musicians', 'alias': ['studio musicians'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c702ce48>}, 'gkg': 'kg:/g/11b7_wpw9v', 'granular_actor_types': {}, 'granular_entity_types': {'musical artist': 1}, 'gkg_name': 'Studio Musicians', 'gkg_type': ['Thing']}, {'name': 'that way', 'id': 886, 'status': None, 'engaged': [], 'lexeme': 'that way', 'alias': ['that way'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c9550b00>}, 'gkg': 'kg:/g/1q5jqnrgb', 'granular_actor_types': {}, 'granular_entity_types': {'song by wale': 1}, 'gkg_name': 'That Way', 'gkg_type': ['Thing']}]",That Way,Studio Musicians,,,"[('Thing', 514.64175, 'That Way')]","[('Thing', 370.92633, 'Studio Musicians')]",True,True
"i haven't seen it either, ",i bought the soundtrack.,comparison,but,mid,"i haven't seen it either, but i bought the soundtrack.","I haven't, no. Did you like it?",Reject,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],"[('MusicAlbum', 232.193672375, 'Desperado: The Soundtrack')]",['sport'],['business'],['Other'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'studio musicians', 'id': 887, 'status': None, 'engaged': [], 'lexeme': 'studio musicians', 'alias': ['studio musicians'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c702ce48>}, 'gkg': 'kg:/g/11b7_wpw9v', 'granular_actor_types': {}, 'granular_entity_types': {'musical artist': 1}, 'gkg_name': 'Studio Musicians', 'gkg_type': ['Thing']}]","[{'name': 'the soundtrack', 'id': 888, 'status': None, 'engaged': [], 'lexeme': 'the soundtrack', 'alias': ['the soundtrack'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6fcf358>}, 'gkg': 'kg:/m/0406mjr', 'granular_actor_types': {'object': 0.1111111111111111}, 'granular_entity_types': {'soundtrack album by robert rodriguez': 1}, 'gkg_name': 'Desperado: The Soundtrack', 'gkg_type': ['MusicAlbum']}]",,Desperado: The Soundtrack,,,[],"[('MusicAlbum', 232.193672375, 'Desperado: The Soundtrack')]",True,True
"yeah, it's really good.",it's hard to compare to the originals.,comparison,but,begin,"yeah, it's really good. but it's hard to compare to the originals.",Was it as good as the soundtrack to Across the Universe?,Statement,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],"[('TVSeries', 1071.252, 'The Originals')]",['sport'],['sport'],['Phatic'],['SciTech'],None,None,[],[],[],[],None,None,"[{'name': 'the soundtrack', 'id': 888, 'status': None, 'engaged': [], 'lexeme': 'the soundtrack', 'alias': ['the soundtrack'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6fcf358>}, 'gkg': 'kg:/m/0406mjr', 'granular_actor_types': {'object': 0.1111111111111111}, 'granular_entity_types': {'soundtrack album by robert rodriguez': 1}, 'gkg_name': 'Desperado: The Soundtrack', 'gkg_type': ['MusicAlbum']}]","[{'name': 'the originals', 'id': 889, 'status': None, 'engaged': [], 'lexeme': 'the originals', 'alias': ['the originals'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66675c0>}, 'gkg': 'kg:/m/0rfhj8q', 'granular_actor_types': {'object': 0.16666666666666666}, 'granular_entity_types': {'american television series': 1}, 'gkg_name': 'The Originals', 'gkg_type': ['TVSeries']}]",,The Originals,,,[],"[('TVSeries', 1071.252, 'The Originals')]",True,True
"yeah, the differences between each part are quite overt, ",somehow it all fits together and works.,comparison,but,mid,"yeah, the differences between each part are quite overt, but somehow it all fits together and works.",I like how experimental it is. I also like seeing the clear contrast between John and Paul contained in one song.,yAnswer,Reject,None,None,"('Positive', 1.0)","('Positive', 1.0)","[('VideoGame', 165.124593375, 'Differences Between Pictures'), ('MusicRecording', 243.50119325, 'Each Part')]","[('MusicRecording', 591.5281995, 'It All Fits Together')]",['business'],['entertainment'],['SciTech'],['Other'],None,None,[],[],[],[],None,None,"[{'name': 'differences between', 'id': 890, 'status': None, 'engaged': [], 'lexeme': 'differences between', 'alias': ['differences between'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c69cdef0>}, 'gkg': 'kg:/g/11fxqrp41k', 'granular_actor_types': {}, 'granular_entity_types': {'video game': 1}, 'gkg_name': 'Differences Between Pictures', 'gkg_type': ['VideoGame']}, {'name': 'each part', 'id': 891, 'status': None, 'engaged': [], 'lexeme': 'each part', 'alias': ['each part'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64fbe80>}, 'gkg': 'kg:/g/11h22v_qsr', 'granular_actor_types': {}, 'granular_entity_types': {'song by manchester orchestra': 1}, 'gkg_name': 'Each Part', 'gkg_type': ['MusicRecording']}, {'name': 'the originals', 'id': 889, 'status': None, 'engaged': [], 'lexeme': 'the originals', 'alias': ['the originals'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66675c0>}, 'gkg': 'kg:/m/0rfhj8q', 'granular_actor_types': {'object': 0.16666666666666666}, 'granular_entity_types': {'american television series': 1}, 'gkg_name': 'The Originals', 'gkg_type': ['TVSeries']}]","[{'name': 'all fits together', 'id': 892, 'status': None, 'engaged': [], 'lexeme': 'all fits together', 'alias': ['all fits together'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c74808d0>}, 'gkg': 'kg:/m/0f8s0m8', 'granular_actor_types': {}, 'granular_entity_types': {'song by dion dimucci': 1}, 'gkg_name': 'It All Fits Together', 'gkg_type': ['MusicRecording']}, {'name': 'differences between', 'id': 890, 'status': None, 'engaged': [], 'lexeme': 'differences between', 'alias': ['differences between'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c69cdef0>}, 'gkg': 'kg:/g/11fxqrp41k', 'granular_actor_types': {}, 'granular_entity_types': {'video game': 1}, 'gkg_name': 'Differences Between Pictures', 'gkg_type': ['VideoGame']}, {'name': 'each part', 'id': 891, 'status': None, 'engaged': [], 'lexeme': 'each part', 'alias': ['each part'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64fbe80>}, 'gkg': 'kg:/g/11h22v_qsr', 'granular_actor_types': {}, 'granular_entity_types': {'song by manchester orchestra': 1}, 'gkg_name': 'Each Part', 'gkg_type': ['MusicRecording']}]","Differences Between Pictures, Each Part",It All Fits Together,,,"[('VideoGame', 165.124593375, 'Differences Between Pictures'), ('MusicRecording', 243.50119325, 'Each Part')]","[('MusicRecording', 591.5281995, 'It All Fits Together')]",True,True
pepper's lonely hearts club band ,my favorite has to be the white album.,comparison,but,mid,i like sgt. pepper's lonely hearts club band but my favorite has to be the white album.,What's your favorite Beatles album?,Clarify,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)","[('MusicAlbum', 546.25704, ""Sgt. Pepper's Lonely Hearts Club Band"")]","[('TVSeries', 356.34287500000005, 'My Favorite Martian'), ('Book', 654.9125, 'The White Album')]",['entertainment'],['entertainment'],['Music'],['Other'],None,None,[],[],[],['opinion_provide_pos_patterns_the white album'],None,None,"[{'name': 'lonely hearts club band', 'id': 894, 'status': None, 'engaged': [], 'lexeme': 'lonely hearts club band', 'alias': ['lonely hearts club band'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64fb470>}, 'gkg': 'kg:/m/0hcr6', 'granular_actor_types': {}, 'granular_entity_types': {'studio album by the beatles': 1}, 'gkg_name': ""Sgt. Pepper's Lonely Hearts Club Band"", 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 893, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['pepper'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6523d68>}, 'gkg': None, 'granular_actor_types': {'organism': 0.3333333333333333, 'object': 0.08333333333333333}, 'granular_entity_types': {}}, {'name': 'all fits together', 'id': 892, 'status': None, 'engaged': [], 'lexeme': 'all fits together', 'alias': ['all fits together'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c74808d0>}, 'gkg': 'kg:/m/0f8s0m8', 'granular_actor_types': {}, 'granular_entity_types': {'song by dion dimucci': 1}, 'gkg_name': 'It All Fits Together', 'gkg_type': ['MusicRecording']}]","[{'name': 'favorite', 'id': 813, 'status': None, 'engaged': [], 'lexeme': 'favorite', 'alias': ['favorite'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c65eb940>}, 'gkg': 'kg:/m/02nnt3', 'granular_actor_types': {}, 'granular_entity_types': {'american sitcom': 1}, 'gkg_name': 'My Favorite Martian', 'gkg_type': ['TVSeries']}, {'name': 'the white album', 'id': 895, 'status': None, 'engaged': [], 'lexeme': 'the white album', 'alias': ['the white album'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66a9438>}, 'gkg': 'kg:/m/0g6jly', 'granular_actor_types': {}, 'granular_entity_types': {'book by joan didion': 1}, 'gkg_name': 'The White Album', 'gkg_type': ['Book']}, {'name': 'lonely hearts club band', 'id': 894, 'status': None, 'engaged': [], 'lexeme': 'lonely hearts club band', 'alias': ['lonely hearts club band'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64fb470>}, 'gkg': 'kg:/m/0hcr6', 'granular_actor_types': {}, 'granular_entity_types': {'studio album by the beatles': 1}, 'gkg_name': ""Sgt. Pepper's Lonely Hearts Club Band"", 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 893, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['pepper'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6523d68>}, 'gkg': None, 'granular_actor_types': {'organism': 0.3333333333333333, 'object': 0.08333333333333333}, 'granular_entity_types': {}}]",Sgt. Pepper's Lonely Hearts Club Band,"My Favorite Martian, The White Album",pepper,,"[('MusicAlbum', 546.25704, ""Sgt. Pepper's Lonely Hearts Club Band"")]","[('TVSeries', 356.34287500000005, 'My Favorite Martian'), ('Book', 654.9125, 'The White Album')]",True,True
