arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
i love thriller ,smooth criminal is my favorite song by micheal jackson.,comparison,but,mid,i love thriller but smooth criminal is my favorite song by micheal jackson.,"I can not really argue with that, I love thriller as it is such a great song to dance to.",Statement,Statement,None,None,"('Positive', 1.0)","('Positive', 1.0)",[],"[('Thing', 924.95261375, 'My Favorite Song'), ('Thing', 843.724488, 'Smooth Criminal')]",['entertainment'],['entertainment'],['Games'],['Music'],None,None,[],['music'],['opinion_provide_pos_patterns_thriller'],['opinion_provide_pos_patterns_song by micheal jackson'],None,None,"[{'name': None, 'id': 887, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['love thriller'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab713b2898>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'great movie', 'id': 660, 'status': None, 'engaged': [], 'lexeme': 'great movie', 'alias': ['great movie'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70be0b00>}, 'gkg': 'kg:/m/04bbv_', 'granular_actor_types': {}, 'granular_entity_types': {'disney ride': 1}, 'gkg_name': 'The Great Movie Ride', 'gkg_type': ['Place']}, {'name': 'last night', 'id': 661, 'status': None, 'engaged': [], 'lexeme': 'last night', 'alias': ['last night'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70b7ffd0>}, 'gkg': 'kg:/m/0524gd5', 'granular_actor_types': {}, 'granular_entity_types': {'2010 film': 1}, 'gkg_name': 'Last Night', 'gkg_type': ['Movie']}]","[{'name': 'favorite song', 'id': 889, 'status': None, 'engaged': [], 'lexeme': 'favorite song', 'alias': ['favorite song'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab71215588>}, 'gkg': 'kg:/g/1q5j4t_0f', 'granular_actor_types': {}, 'granular_entity_types': {'song by ellegarden': 1}, 'gkg_name': 'My Favorite Song', 'gkg_type': ['Thing']}, {'name': 'smooth criminal', 'id': 888, 'status': None, 'engaged': [], 'lexeme': 'smooth criminal', 'alias': ['smooth criminal'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab71166128>}, 'gkg': 'kg:/g/11f2653v2j', 'granular_actor_types': {}, 'granular_entity_types': {'song by michael jackson': 1}, 'gkg_name': 'Smooth Criminal', 'gkg_type': ['Thing']}, {'name': None, 'id': 887, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['love thriller'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab713b2898>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,"Smooth Criminal, My Favorite Song",love thriller,,[],"[('Thing', 924.95261375, 'My Favorite Song'), ('Thing', 843.724488, 'Smooth Criminal')]",True,True
"she has country roots, ",flirts with an r&b sound sometimes.,comparison,but,mid,"she is good. she has country roots, but flirts with an r&b sound sometimes.",My favorite singer is Taylor Swift though.,Statement,Other,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('MusicAlbum', 299.79358, 'Country Roots')]",[],['sport'],['entertainment'],['Politics'],['Music'],None,None,[],[],[],[],None,None,"[{'name': 'country roots', 'id': 891, 'status': None, 'engaged': [], 'lexeme': 'country roots', 'alias': ['country roots'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab710c8cc0>}, 'gkg': 'kg:/m/0yc0lh2', 'granular_actor_types': {}, 'granular_entity_types': {'album by tamra rosanes': 1}, 'gkg_name': 'Country Roots', 'gkg_type': ['MusicAlbum']}, {'name': 'favorite song', 'id': 889, 'status': None, 'engaged': [], 'lexeme': 'favorite song', 'alias': ['favorite song'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab71215588>}, 'gkg': 'kg:/g/1q5j4t_0f', 'granular_actor_types': {}, 'granular_entity_types': {'song by ellegarden': 1}, 'gkg_name': 'My Favorite Song', 'gkg_type': ['Thing']}, {'name': 'smooth criminal', 'id': 888, 'status': None, 'engaged': [], 'lexeme': 'smooth criminal', 'alias': ['smooth criminal'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab71166128>}, 'gkg': 'kg:/g/11f2653v2j', 'granular_actor_types': {}, 'granular_entity_types': {'song by michael jackson': 1}, 'gkg_name': 'Smooth Criminal', 'gkg_type': ['Thing']}]","[{'name': None, 'id': 892, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['flirts with', 'randb sound'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab71688400>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'country roots', 'id': 891, 'status': None, 'engaged': [], 'lexeme': 'country roots', 'alias': ['country roots'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab710c8cc0>}, 'gkg': 'kg:/m/0yc0lh2', 'granular_actor_types': {}, 'granular_entity_types': {'album by tamra rosanes': 1}, 'gkg_name': 'Country Roots', 'gkg_type': ['MusicAlbum']}]",Country Roots,,,flirts with,"[('MusicAlbum', 299.79358, 'Country Roots')]",[],True,True
i think eminem and lil' wayne had the best verses ,drake pulled the whole thing together.,comparison,but,mid,i think eminem and lil' wayne had the best verses but drake pulled the whole thing together.,That is a great song as you would guess considering the artists on the track.,Continuer,Statement,None,None,"('Negative', 1.0)","('Neutral', 1.0)",[],"[('Thing', 354.69309975, ""Let's Call the Whole Thing Off"")]",['entertainment'],['entertainment'],['Music'],['Music'],None,None,[],[],[],[],None,None,"[{'name': 'eminem', 'id': 80, 'status': None, 'engaged': [], 'lexeme': 'eminem', 'alias': ['eminem', 'wayne'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab73ecb2b0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 893, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['lil'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70c95390>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 894, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['verse'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70697080>}, 'gkg': None, 'granular_actor_types': {'communication': 0.25}, 'granular_entity_types': {}}, {'name': None, 'id': 892, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['flirts with', 'randb sound'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab71688400>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 895, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['drake'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab7057a208>}, 'gkg': None, 'granular_actor_types': {'person': 0.1724137931034483}, 'granular_entity_types': {}}, {'name': 'the whole thing', 'id': 896, 'status': None, 'engaged': [], 'lexeme': 'the whole thing', 'alias': ['the whole thing'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab71024780>}, 'gkg': 'kg:/g/1q5jqmrc1', 'granular_actor_types': {}, 'granular_entity_types': {'song by fred astaire and ginger rogers': 1}, 'gkg_name': ""Let's Call the Whole Thing Off"", 'gkg_type': ['Thing']}, {'name': 'eminem', 'id': 80, 'status': None, 'engaged': [], 'lexeme': 'eminem', 'alias': ['eminem', 'wayne'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab73ecb2b0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 893, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['lil'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70c95390>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 894, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['verse'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70697080>}, 'gkg': None, 'granular_actor_types': {'communication': 0.25}, 'granular_entity_types': {}}]",,Let's Call the Whole Thing Off,"eminem, lil, verse",drake,[],"[('Thing', 354.69309975, ""Let's Call the Whole Thing Off"")]",True,True
me too.,she is good on the voice.,comparison,but,begin,me too. but she is good on the voice.,I miss her music.,Statement,Statement,None,None,"('Negative', 1.0)","('Positive', 1.0)",[],"[('TVSeries', 1210.58140525, 'The Voice')]",['sport'],['sport'],['Phatic'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 895, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['drake'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab7057a208>}, 'gkg': None, 'granular_actor_types': {'person': 0.1724137931034483}, 'granular_entity_types': {}}, {'name': 'the whole thing', 'id': 896, 'status': None, 'engaged': [], 'lexeme': 'the whole thing', 'alias': ['the whole thing'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab71024780>}, 'gkg': 'kg:/g/1q5jqmrc1', 'granular_actor_types': {}, 'granular_entity_types': {'song by fred astaire and ginger rogers': 1}, 'gkg_name': ""Let's Call the Whole Thing Off"", 'gkg_type': ['Thing']}]","[{'name': 'the voice', 'id': 897, 'status': None, 'engaged': [], 'lexeme': 'the voice', 'alias': ['the voice'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab709e8710>}, 'gkg': 'kg:/m/0gg645n', 'granular_actor_types': {}, 'granular_entity_types': {'american television series': 1}, 'gkg_name': 'The Voice', 'gkg_type': ['TVSeries']}]",,The Voice,,,[],"[('TVSeries', 1210.58140525, 'The Voice')]",True,True
"it's great, isn't it?","it's also kinda, i don't know sad?",comparison,but,begin,"it's great, isn't it? but it's also kinda, i don't know sad? to see her away from her street punk style music","yeah, I recognized her voice immediately after I hearing the music",Statement,Reject,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],[],['sport'],['sport'],['Phatic'],['Psychology'],None,None,[],[],[],[],None,None,"[{'name': 'the voice', 'id': 897, 'status': None, 'engaged': [], 'lexeme': 'the voice', 'alias': ['the voice'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab709e8710>}, 'gkg': 'kg:/m/0gg645n', 'granular_actor_types': {}, 'granular_entity_types': {'american television series': 1}, 'gkg_name': 'The Voice', 'gkg_type': ['TVSeries']}]","[{'name': None, 'id': 808, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['kinda'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab707ef320>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,,kinda,[],[],True,True
"yea, she's married and definitely more mature now, ","i do miss her old style, simply cool and careless, the feeling of letting go",comparison,but,mid,"yea, she's married and definitely more mature now, but i do miss her old style, simply cool and careless, the feeling of letting go","it's great, isn't it? But it's also kinda, I don't know sad? to see her away from her street punk style music",Other,nAnswer,None,None,"('Positive', 1.0)","('Negative', 1.0)",[],"[('MusicGroup', 770.364, 'The Feeling'), ('Book', 635.362, 'Letting Go')]",['entertainment'],['sport'],['Other'],['Other'],None,None,[],['style'],[],[],None,None,"[{'name': None, 'id': 898, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['yea'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70f68470>}, 'gkg': None, 'granular_actor_types': {'communication': 0.16666666666666666}, 'granular_entity_types': {}}, {'name': None, 'id': 808, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['kinda'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab707ef320>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'the feeling', 'id': 899, 'status': None, 'engaged': [], 'lexeme': 'the feeling', 'alias': ['the feeling'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70792908>}, 'gkg': 'kg:/m/0b28b7', 'granular_actor_types': {'feeling': 0.8333333333333334}, 'granular_entity_types': {'rock band': 1}, 'gkg_name': 'The Feeling', 'gkg_type': ['MusicGroup']}, {'name': 'letting go', 'id': 900, 'status': None, 'engaged': [], 'lexeme': 'letting go', 'alias': ['letting go'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab71073748>}, 'gkg': 'kg:/m/0fypyj', 'granular_actor_types': {}, 'granular_entity_types': {'novel by philip roth': 1}, 'gkg_name': 'Letting Go', 'gkg_type': ['Book']}, {'name': None, 'id': 358, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['of', 'with', 'illnesses', 'life'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab7161d828>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 898, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['yea'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70f68470>}, 'gkg': None, 'granular_actor_types': {'communication': 0.16666666666666666}, 'granular_entity_types': {}}]",,"Letting Go, The Feeling",yea,of,[],"[('MusicGroup', 770.364, 'The Feeling'), ('Book', 635.362, 'Letting Go')]",True,True
"i agree, ",some of his younger material was more relevant to that time period.,comparison,but,mid,"i agree, but some of his younger material was more relevant to that time period.",Some of his stuff is garbage.,Accept,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)","[('Thing', 267.88475, 'I Agree')]",[],['business'],['entertainment'],['Phatic'],['Other'],None,None,[],[],[],[],None,None,"[{'name': 'i agree', 'id': 529, 'status': None, 'engaged': [], 'lexeme': 'i agree', 'alias': ['i agree'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab711914a8>}, 'gkg': 'kg:/g/11c3knrpk5', 'granular_actor_types': {}, 'granular_entity_types': {'song by krezip': 1}, 'gkg_name': 'I Agree', 'gkg_type': ['Thing']}, {'name': 'the feeling', 'id': 899, 'status': None, 'engaged': [], 'lexeme': 'the feeling', 'alias': ['the feeling'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70792908>}, 'gkg': 'kg:/m/0b28b7', 'granular_actor_types': {'feeling': 0.8333333333333334}, 'granular_entity_types': {'rock band': 1}, 'gkg_name': 'The Feeling', 'gkg_type': ['MusicGroup']}, {'name': 'letting go', 'id': 900, 'status': None, 'engaged': [], 'lexeme': 'letting go', 'alias': ['letting go'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab71073748>}, 'gkg': 'kg:/m/0fypyj', 'granular_actor_types': {}, 'granular_entity_types': {'novel by philip roth': 1}, 'gkg_name': 'Letting Go', 'gkg_type': ['Book']}, {'name': None, 'id': 358, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['of', 'with', 'illnesses', 'life'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab7161d828>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 901, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['that time period'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70b672e8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'i agree', 'id': 529, 'status': None, 'engaged': [], 'lexeme': 'i agree', 'alias': ['i agree'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab711914a8>}, 'gkg': 'kg:/g/11c3knrpk5', 'granular_actor_types': {}, 'granular_entity_types': {'song by krezip': 1}, 'gkg_name': 'I Agree', 'gkg_type': ['Thing']}]",I Agree,,,that time period,"[('Thing', 267.88475, 'I Agree')]",[],True,True
i secretly like taylor swift ,she is so successful that i hate her too.,comparison,but,mid,i secretly like taylor swift but she is so successful that i hate her too.,I really admire Adele's voice.,Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)","[('Person', 2465.993896, 'Taylor Swift')]",[],['sport'],['sport'],['Celebrities'],['Other'],None,None,[],[],[],['opinion_provide_neg_patterns_her too'],None,None,"[{'name': 'taylor swift', 'id': 138, 'status': None, 'engaged': [], 'lexeme': 'taylor swift', 'alias': ['taylor swift'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab7425f470>}, 'gkg': 'kg:/m/0dl567', 'granular_actor_types': {}, 'granular_entity_types': {'american singer': 1}, 'gkg_name': 'Taylor Swift', 'gkg_type': ['Person']}, {'name': None, 'id': 901, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['that time period'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70b672e8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'taylor swift', 'id': 138, 'status': None, 'engaged': [], 'lexeme': 'taylor swift', 'alias': ['taylor swift'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab7425f470>}, 'gkg': 'kg:/m/0dl567', 'granular_actor_types': {}, 'granular_entity_types': {'american singer': 1}, 'gkg_name': 'Taylor Swift', 'gkg_type': ['Person']}]",Taylor Swift,,,,"[('Person', 2465.993896, 'Taylor Swift')]",[],True,True
i have never heard it ,i will give it a listen.,comparison,but,mid,i have never heard it but i will give it a listen.,"Considering she is 27 years old so she has been making music for a long time. The song was called ""Pon de Replay"".",Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)",[],[],['sport'],['sport'],['Phatic'],['Phatic'],None,None,[],[],[],[],None,None,[],[],,,,,[],[],True,True
it has a lot of memories for me ,i met my husband at that time.,contingency,because,mid,it has a lot of memories for me because i met my husband at that time.,Oh now that one I do remember!,Emphasis,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)","[('LocalBusiness', 402.765125, 'Save-A-Lot')]","[('Thing', 389.01975, 'my husband'), ('Movie', 166.30425, 'That Time of Year')]",['sport'],['sport'],['Music'],['Other'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 902, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['memory'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70878e48>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'a lot', 'id': 489, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab7112f5c0>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}]","[{'name': 'husband', 'id': 822, 'status': None, 'engaged': [], 'lexeme': 'husband', 'alias': ['husband'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab707c42e8>}, 'gkg': 'kg:/g/11b6_6s_nx', 'granular_actor_types': {'person': 0.21739130434782608}, 'granular_entity_types': {'song by ed sheeran': 1}, 'gkg_name': 'my husband', 'gkg_type': ['Thing']}, {'name': 'that time', 'id': 903, 'status': None, 'engaged': [], 'lexeme': 'that time', 'alias': ['that time'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab706976d8>}, 'gkg': 'kg:/g/11fctqtppb', 'granular_actor_types': {}, 'granular_entity_types': {'2018 film': 1}, 'gkg_name': 'That Time of Year', 'gkg_type': ['Movie']}, {'name': None, 'id': 902, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['memory'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab70878e48>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'a lot', 'id': 489, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fab7112f5c0>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}]",Save-A-Lot,"That Time of Year, my husband",,,"[('LocalBusiness', 402.765125, 'Save-A-Lot')]","[('Thing', 389.01975, 'my husband'), ('Movie', 166.30425, 'That Time of Year')]",True,True
