arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
"there's a ton of build-up, and he walks away and it makes sense, ",i just didn't care.,comparison,but,mid,"there's a ton of build-up, and he walks away and it makes sense, but i just didn't care.",WHy?,Statement,Statement,None,None,"('Positive', 1.0)","('Negative', 1.0)","[('Thing', 382.00925, 'a ton'), ('Thing', 403.766, 'makes sense')]",[],['sport'],['sport'],['Math'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2518, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['of build-up'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b992438>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'a ton', 'id': 2517, 'status': None, 'engaged': [], 'lexeme': 'a ton', 'alias': ['a ton'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b458390>}, 'gkg': 'kg:/g/1s05sk2n5', 'granular_actor_types': {}, 'granular_entity_types': {'song by noir d-sir': 1}, 'gkg_name': 'a ton', 'gkg_type': ['Thing']}, {'name': 'makes sense', 'id': 551, 'status': None, 'engaged': [], 'lexeme': 'makes sense', 'alias': ['makes sense'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90ba215c0>}, 'gkg': 'kg:/g/1q5jzjdvw', 'granular_actor_types': {}, 'granular_entity_types': {'song by leann rimes': 1}, 'gkg_name': 'makes sense', 'gkg_type': ['Thing']}, {'name': None, 'id': 856, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['wait , amidala fell', 'that', 'a tough question', 'a good play', 'scenes', 'a good point', 'back', 'bit', 'a bigger role', 'a pretty long battle', 'a pretty common opinion', 'a very vague title', 'an interesting take on things', 'a bit much , but yeah , chewie needs', 'a hard question', 'a weapon', 'the story line from the tv animation series', 'a fair point', 'thats', 'a lightsaber', 'for', 'battle', 'a valid point', 'movie'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b21f9b0>, 'lightsaber': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90ae174a8>, 'weapon': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd909e58f60>, 'death': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90a729400>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 2518, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['of build-up'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b992438>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'a ton', 'id': 2517, 'status': None, 'engaged': [], 'lexeme': 'a ton', 'alias': ['a ton'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b458390>}, 'gkg': 'kg:/g/1s05sk2n5', 'granular_actor_types': {}, 'granular_entity_types': {'song by noir d-sir': 1}, 'gkg_name': 'a ton', 'gkg_type': ['Thing']}, {'name': 'makes sense', 'id': 551, 'status': None, 'engaged': [], 'lexeme': 'makes sense', 'alias': ['makes sense'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90ba215c0>}, 'gkg': 'kg:/g/1q5jzjdvw', 'granular_actor_types': {}, 'granular_entity_types': {'song by leann rimes': 1}, 'gkg_name': 'makes sense', 'gkg_type': ['Thing']}]","a ton, makes sense",,of build-up,,"[('Thing', 382.00925, 'a ton'), ('Thing', 403.766, 'makes sense')]",[],True,True
i think i have ,its been a long time.,comparison,but,mid,i think i have but its been a long time.  who is in it?,Yes!  With the guy in the ghost mask.,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('Thing', 508.57800000000003, 'i have')]","[('MusicAlbum', 1211.0656987500001, ""It's Been a Long Time"")]",['sport'],['business'],['Phatic'],['Weather_Time'],None,None,[],[],[],[],None,None,"[{'name': 'i have', 'id': 2514, 'status': None, 'engaged': [], 'lexeme': 'i have', 'alias': ['i have'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd909243550>}, 'gkg': 'kg:/g/11b8c9dl5l', 'granular_actor_types': {}, 'granular_entity_types': {'song by abba': 1}, 'gkg_name': 'i have', 'gkg_type': ['Thing']}]","[{'name': 'been a long time', 'id': 2519, 'status': None, 'engaged': [], 'lexeme': 'been a long time', 'alias': ['been a long time'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90be8a240>}, 'gkg': 'kg:/m/0cz94q4', 'granular_actor_types': {}, 'granular_entity_types': {'album by ju-taun': 1}, 'gkg_name': ""It's Been a Long Time"", 'gkg_type': ['MusicAlbum']}, {'name': 'i have', 'id': 2514, 'status': None, 'engaged': [], 'lexeme': 'i have', 'alias': ['i have'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd909243550>}, 'gkg': 'kg:/g/11b8c9dl5l', 'granular_actor_types': {}, 'granular_entity_types': {'song by abba': 1}, 'gkg_name': 'i have', 'gkg_type': ['Thing']}]",i have,It's Been a Long Time,,,"[('Thing', 508.57800000000003, 'i have')]","[('MusicAlbum', 1211.0656987500001, ""It's Been a Long Time"")]",True,True
"i wanted to watch something good and scary, ",not gore focused.,comparison,but,mid,"i wanted to watch something good and scary, but not gore focused.",Yeah - that part was definitely cool.,Statement,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],[],['sport'],['sport'],['SciTech'],['Politics'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 423, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['something'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90bece828>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'been a long time', 'id': 2519, 'status': None, 'engaged': [], 'lexeme': 'been a long time', 'alias': ['been a long time'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90be8a240>}, 'gkg': 'kg:/m/0cz94q4', 'granular_actor_types': {}, 'granular_entity_types': {'album by ju-taun': 1}, 'gkg_name': ""It's Been a Long Time"", 'gkg_type': ['MusicAlbum']}]","[{'name': None, 'id': 423, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['something'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90bece828>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,something,,[],[],True,True
"my dad told me about it, ",i couldn't believe him.,comparison,but,mid,"oh wow. my dad told me about it, but i couldn't believe him.",Yeah. It was a pretty decent movie as I recall.,Statement,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)","[('MusicRecording', 278.55271112500003, 'Mama Told Me About It'), ('Thing', 588.14175, 'My Dad')]",[],['sport'],['sport'],['Other'],['Music'],None,None,[],[],[],[],None,None,"[{'name': 'told about', 'id': 2520, 'status': None, 'engaged': [], 'lexeme': 'told about', 'alias': ['told about'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b338400>}, 'gkg': 'kg:/m/0fssk35', 'granular_actor_types': {}, 'granular_entity_types': {'song by miranda louise': 1}, 'gkg_name': 'Mama Told Me About It', 'gkg_type': ['MusicRecording']}, {'name': 'dad', 'id': 1319, 'status': None, 'engaged': [], 'lexeme': 'dad', 'alias': ['dad'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90aa0d160>}, 'gkg': 'kg:/g/1s05t256t', 'granular_actor_types': {'person': 0.15625}, 'granular_entity_types': {'song by paul petersen': 1}, 'gkg_name': 'My Dad', 'gkg_type': ['Thing']}]","[{'name': 'told about', 'id': 2520, 'status': None, 'engaged': [], 'lexeme': 'told about', 'alias': ['told about'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b338400>}, 'gkg': 'kg:/m/0fssk35', 'granular_actor_types': {}, 'granular_entity_types': {'song by miranda louise': 1}, 'gkg_name': 'Mama Told Me About It', 'gkg_type': ['MusicRecording']}, {'name': 'dad', 'id': 1319, 'status': None, 'engaged': [], 'lexeme': 'dad', 'alias': ['dad'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90aa0d160>}, 'gkg': 'kg:/g/1s05t256t', 'granular_actor_types': {'person': 0.15625}, 'granular_entity_types': {'song by paul petersen': 1}, 'gkg_name': 'My Dad', 'gkg_type': ['Thing']}]","Mama Told Me About It, My Dad",,,,"[('MusicRecording', 278.55271112500003, 'Mama Told Me About It'), ('Thing', 588.14175, 'My Dad')]",[],True,True
"thanks for the info, i've the movie a look, ",don't offer me any of the that drug.,comparison,but,mid,"yikes! thanks for the info, i've the movie a look, but don't offer me any of the that drug.",The downside is the drug isn't common and the withdrawl symptoms can cause hospitalize you or even kill you outright.,Statement,Reject,None,None,"('Positive', 1.0)","('Negative', 1.0)","[('Movie', 670.9885, 'Thanks for Sharing'), ('Movie', 738.626, 'Garfield: The Movie')]",[],['entertainment'],['business'],['Movies_TV'],['Other'],None,None,['movie'],[],[],[],None,None,"[{'name': 'thanks for', 'id': 2521, 'status': None, 'engaged': [], 'lexeme': 'thanks for', 'alias': ['thanks for'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90a19a0b8>}, 'gkg': 'kg:/m/0h0xjhc', 'granular_actor_types': {}, 'granular_entity_types': {'2012 film': 1}, 'gkg_name': 'Thanks for Sharing', 'gkg_type': ['Movie']}, {'name': None, 'id': 2522, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['info'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd909e7d550>}, 'gkg': None, 'granular_actor_types': {'communication': 0.3}, 'granular_entity_types': {}}, {'name': None, 'id': 2523, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a look'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b366208>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the movie', 'id': 814, 'status': None, 'engaged': [], 'lexeme': 'the movie', 'alias': ['the movie'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b2d2da0>}, 'gkg': 'kg:/m/01yzvd', 'granular_actor_types': {'product': 0.42857142857142855, 'object': 0.09523809523809523}, 'granular_entity_types': {'2004 film': 1}, 'gkg_name': 'Garfield: The Movie', 'gkg_type': ['Movie']}]","[{'name': None, 'id': 2524, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['the that drug'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b72e320>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'thanks for', 'id': 2521, 'status': None, 'engaged': [], 'lexeme': 'thanks for', 'alias': ['thanks for'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90a19a0b8>}, 'gkg': 'kg:/m/0h0xjhc', 'granular_actor_types': {}, 'granular_entity_types': {'2012 film': 1}, 'gkg_name': 'Thanks for Sharing', 'gkg_type': ['Movie']}, {'name': None, 'id': 2522, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['info'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd909e7d550>}, 'gkg': None, 'granular_actor_types': {'communication': 0.3}, 'granular_entity_types': {}}, {'name': None, 'id': 2523, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a look'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b366208>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the movie', 'id': 814, 'status': None, 'engaged': [], 'lexeme': 'the movie', 'alias': ['the movie'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b2d2da0>}, 'gkg': 'kg:/m/01yzvd', 'granular_actor_types': {'product': 0.42857142857142855, 'object': 0.09523809523809523}, 'granular_entity_types': {'2004 film': 1}, 'gkg_name': 'Garfield: The Movie', 'gkg_type': ['Movie']}]","Thanks for Sharing, Garfield: The Movie",,"info, a look",the that drug,"[('Movie', 670.9885, 'Thanks for Sharing'), ('Movie', 738.626, 'Garfield: The Movie')]",[],True,True
"yeah, it was kind of obvious to me.",it is still a decent movie.,comparison,but,begin,"yeah, it was kind of obvious to me.  but it is still a decent movie.",Really?  I had no idea.,Statement,Statement,None,None,"('Negative', 1.0)","('Positive', 1.0)","[('Book', 570.528, 'kind of')]",[],['sport'],['entertainment'],['Other'],['Movies_TV'],None,None,[],['movie'],[],[],None,None,"[{'name': 'kind of', 'id': 435, 'status': None, 'engaged': [], 'lexeme': 'kind of', 'alias': ['kind of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90bf277f0>}, 'gkg': 'kg:/m/0n27f', 'granular_actor_types': {}, 'granular_entity_types': {'book by stephen wolfram': 1}, 'gkg_name': 'kind of', 'gkg_type': ['Book']}, {'name': None, 'id': 2525, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['obvious'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90adbc908>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2524, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['the that drug'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b72e320>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 556, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a decent movie'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90ba085f8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'kind of', 'id': 435, 'status': None, 'engaged': [], 'lexeme': 'kind of', 'alias': ['kind of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90bf277f0>}, 'gkg': 'kg:/m/0n27f', 'granular_actor_types': {}, 'granular_entity_types': {'book by stephen wolfram': 1}, 'gkg_name': 'kind of', 'gkg_type': ['Book']}, {'name': None, 'id': 2525, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['obvious'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90adbc908>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",kind of,,obvious,a decent movie,"[('Book', 570.528, 'kind of')]",[],True,True
"i have heard of it, ",i don't know what it's about,comparison,but,mid,"i have heard of it, but i don't know what it's about",Do you know the movie Donnie Darko?,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('MusicGroup', 408.31115750000004, 'Never Heard of It')]",[],['business'],['sport'],['Other'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'heard of', 'id': 2526, 'status': None, 'engaged': [], 'lexeme': 'heard of', 'alias': ['heard of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b2ea940>}, 'gkg': 'kg:/m/01pfswp', 'granular_actor_types': {}, 'granular_entity_types': {'musical group': 1}, 'gkg_name': 'Never Heard of It', 'gkg_type': ['MusicGroup']}, {'name': None, 'id': 556, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a decent movie'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90ba085f8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'heard of', 'id': 2526, 'status': None, 'engaged': [], 'lexeme': 'heard of', 'alias': ['heard of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b2ea940>}, 'gkg': 'kg:/m/01pfswp', 'granular_actor_types': {}, 'granular_entity_types': {'musical group': 1}, 'gkg_name': 'Never Heard of It', 'gkg_type': ['MusicGroup']}]",Never Heard of It,,,,"[('MusicGroup', 408.31115750000004, 'Never Heard of It')]",[],True,True
i think it's ,he is a little crazy,contingency,because,mid,i think it's because he is a little crazy,Why does he see the rabbit?,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('MusicRecording', 254.79475000000002, 'Think It')]","[('Thing', 788.606, 'a little')]",['sport'],['sport'],['Phatic'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'think', 'id': 474, 'status': None, 'engaged': [], 'lexeme': 'think', 'alias': ['think'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90beb8ef0>}, 'gkg': 'kg:/m/012mwf85', 'granular_actor_types': {}, 'granular_entity_types': {'song by head high': 1}, 'gkg_name': 'Think It', 'gkg_type': ['MusicRecording']}]","[{'name': 'a little', 'id': 657, 'status': None, 'engaged': [], 'lexeme': 'a little', 'alias': ['a little'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b76ac50>}, 'gkg': 'kg:/g/11b7693m4p', 'granular_actor_types': {}, 'granular_entity_types': {'song by ella fitzgerald': 1}, 'gkg_name': 'a little', 'gkg_type': ['Thing']}, {'name': 'think', 'id': 474, 'status': None, 'engaged': [], 'lexeme': 'think', 'alias': ['think'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90beb8ef0>}, 'gkg': 'kg:/m/012mwf85', 'granular_actor_types': {}, 'granular_entity_types': {'song by head high': 1}, 'gkg_name': 'Think It', 'gkg_type': ['MusicRecording']}]",Think It,a little,,,"[('MusicRecording', 254.79475000000002, 'Think It')]","[('Thing', 788.606, 'a little')]",True,True
"yes, and they were definitely fooled at first.",his other personalities always take over before they can be rescued by that particular one.,comparison,but,begin,"yes, and they were definitely fooled at first. but his other personalities always take over before they can be rescued by that particular one.",But wasn't one personality trying to save them?,yAnswer,Other,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('MusicRecording', 395.73732, 'Fooled at First')]",[],['sport'],['sport'],['Celebrities'],['Psychology'],None,None,[],[],[],[],None,None,"[{'name': 'fooled at first', 'id': 2527, 'status': None, 'engaged': [], 'lexeme': 'fooled at first', 'alias': ['fooled at first'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd909a4bf60>}, 'gkg': 'kg:/m/0129lmb', 'granular_actor_types': {}, 'granular_entity_types': {'song by the super friendz': 1}, 'gkg_name': 'Fooled at First', 'gkg_type': ['MusicRecording']}, {'name': 'a little', 'id': 657, 'status': None, 'engaged': [], 'lexeme': 'a little', 'alias': ['a little'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90b76ac50>}, 'gkg': 'kg:/g/11b7693m4p', 'granular_actor_types': {}, 'granular_entity_types': {'song by ella fitzgerald': 1}, 'gkg_name': 'a little', 'gkg_type': ['Thing']}]","[{'name': 'fooled at first', 'id': 2527, 'status': None, 'engaged': [], 'lexeme': 'fooled at first', 'alias': ['fooled at first'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd909a4bf60>}, 'gkg': 'kg:/m/0129lmb', 'granular_actor_types': {}, 'granular_entity_types': {'song by the super friendz': 1}, 'gkg_name': 'Fooled at First', 'gkg_type': ['MusicRecording']}]",Fooled at First,,,,"[('MusicRecording', 395.73732, 'Fooled at First')]",[],True,True
but his other personalities always take over ,they can be rescued by that particular one.,temporal,before,mid,"yes, and they were definitely fooled at first. but his other personalities always take over before they can be rescued by that particular one.",But wasn't one personality trying to save them?,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],[],['sport'],['tech'],['Psychology'],['Pets_Animals'],None,None,[],[],[],[],None,None,[],[],,,,,[],[],True,True
