arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"that sounds cute, i do it when i got out, ",not all the time.,comparison,but,mid,"that sounds cute, i do it when i got out, but not all the time.","I always wear jeans, sandals, and tank tops. It's my favorite fashion statement."
"i wanted to get a geometric design once, ",i couldn't find a shirt i liked with them.,comparison,but,mid,"that sounds like it looks good. i wanted to get a geometric design once, but i couldn't find a shirt i liked with them.",I like them. I have these camp leggings and I have a super cute black shirt that I wear with them.
i saw them at a craft shop ,never used them after i bought them.,comparison,but,mid,i saw them at a craft shop but never used them after i bought them. you may have them.,Those are so cool? Where did they come from?
"it sure is, i see them everywhere i go.",i saw them on amber heard first.,comparison,but,begin,"it sure is, i see them everywhere i go. but i saw them on amber heard first.",Those sunglasses the rapper Pitbull made famous are still popular. It's amazing.
He's fighting with the company that produces them.,he's wearing some other kind?,contingency,so,begin,so he's wearing some other kind?,"No, he definitely doesn't. He's fighting with the company that produces them."
i wonder if people will wear the ones he used to wear ,"of the publicity, or his new pick.",contingency,because,mid,"i wonder if people will wear the ones he used to wear because of the publicity, or his new pick.",I guess so.
I wouldn't even recognize Pitbull.,you'd recognize his sunglasses.,comparison,but,begin,but you'd recognize his sunglasses.,"Well, I guess I don't. I wouldn't even recognize Pitbull."
i gotcha yeah i try to wear what they have ,i don't think that they are trendsetters,comparison,but,mid,i gotcha yeah i try to wear what they have but i don't think that they are trendsetters,I'm not looking at the lifestyles and talking specifically about what they wear
"there's gonna be a ton of people, and we all have different styles, ",you'll be able to find whatever!,contingency,so,mid,"there's gonna be a ton of people, and we all have different styles, so you'll be able to find whatever!",Cool! I do have a bunch of stuff I never wear.
"yes, some are cheap, ",i worry more about fit that quality.,comparison,but,mid,"yes, some are cheap, but i worry more about fit that quality.",Do you think payless has cheap shoes?
"well nikes don't have patterns, ",they have shocks and jordan's and lots of different ones.,comparison,but,mid,"well nikes don't have patterns, but they have shocks and jordan's and lots of different ones.","Vans do too, we'll different patterns.  I have some Mackey mouse ones."
i don't know ,i still wear them.,comparison,but,mid,i don't know but i still wear them.,Are brooches still popular?
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
"i liked kylie jenner's pink floral illlusion dress, ",it is a look that we've seen hundreds of time before.,comparison,but,mid,"i liked kylie jenner's pink floral illlusion dress, but it is a look that we've seen hundreds of time before.  there was nothing original about it.",I actually think that Kim Kardashian-West was a bit under dressed this year.  She wore a white corseted Vivienne Westwood gown and strappy sandals which was a far cry from the sparkling silver Balmain gown she wore in 2016.
There was nothing original about it.,that wasn't the biggest fail of the evening.,comparison,but,begin,but that wasn't the biggest fail of the evening.  madonna's camo moschino gown stood out for all the wrong reasons.  it wasn't a fashion moment.,"I liked Kylie Jenner's pink floral illlusion dress, but it is a look that we've seen hundreds of time before.  There was nothing original about it."
my other favorite looks of the night were rita ora's red marchesa gown ,zendaya really stunned in the gorgeous satin dolce & gabbana off the shoulder gown.,expansion,and,mid,my other favorite looks of the night were rita ora's red marchesa gown and zendaya really stunned in the gorgeous satin dolce & gabbana off the shoulder gown.,"I think the saying goes, ""too many accessories clutter an outfit.""  This look had bad horror film written all over it."
They wont last as long,"they look the same, just need to replace them more often?",comparison,but,begin,"but they look the same, just need to replace them more often?",Not the same quality. They wont last as long
yes but most of the clothes end up only lasting a season anyway ,the next trend comes out.,temporal,before,mid,yes but most of the clothes end up only lasting a season anyway before the next trend comes out.,"But they look the same, just need to replace them more often?"
i hear you ,"nah, i don't like it.",comparison,but,mid,"i hear you but nah, i don't like it.",Greenery is also emblematic of the pursuit of personal passions and vitality. Green is life.
"they are, ",for only a few hours.,comparison,but,mid,"they are, but for only a few hours.",Really? They look so comfortable.
well maybe we can go there together one time!,i gotta run!,comparison,but,begin,well maybe we can go there together one time! but i gotta run! it was good talking to you! bye!,Benefits of being the owner!
"yeah, i see your point.",buying new exercise wear can be motivating too.,comparison,but,begin,"yeah, i see your point. but buying new exercise wear can be motivating too.",I liked throwing on my black leggings and going for a run. I didn't have to think about it.
of course.,it's nice to look good too.,comparison,but,begin,sure. of course. but it's nice to look good too.,I'm not just exercising to look good. It's good for me!
she is a vision in the white flowing gown she wore by stella mccartney ,she has done this look before.,comparison,but,mid,"absolutely, although i was also not impressed by someone who i look forward to seeing every year, kate hudson. she is a vision in the white flowing gown she wore by stella mccartney but she has done this look before.",Yes! Her body looked amazing in the skin tight jumpsuit and the black high heels to match were to die for!
"yes, it was very risqué ",what we expected.,comparison,but,mid,"yes, it was very risqué but what we expected. her sister kylie jenner stunned in custom versace in the platinum colored gown she wore.",Someone who also wowed me was Kendall Jenner who showed up in a barely there gown with a black sash on the front and see-through back.
"i agree, ",i saw pictures of her at her after party where she changed into a more comfortable jeans and white t-shirt.,comparison,but,mid,"i agree, but i saw pictures of her at her after party where she changed into a more comfortable jeans and white t-shirt.","Yes, Rihanna's gown looked extremely uncomfortable and unwearable."
"yeah, i was really confused, i thought she was wearing an outfit for a play ","something, i didn't realize it was suppose to be an every outfit.",expansion,or,mid,"yeah, i was really confused, i thought she was wearing an outfit for a play or something, i didn't realize it was suppose to be an every outfit.","I know, her stuff was just all over the place.  Nothing matched and it just didn't make sense."
"i mean her clothes are generally really pretty, ","the hot pink and dark green combo, just do not work.",comparison,but,mid,"i mean her clothes are generally really pretty, but the hot pink and dark green combo, just do not work.","Yeah they were nice, just not with that skirt."
"yes, she has the black ones ",they also come in red and purple.,comparison,but,mid,"yes, she has the black ones but they also come in red and purple.","I think so, those are the above knee boots that Miranda Kerr was photographed in?"
"i do too, ","i can never seem to find a simple, classic riding boot that i like.",comparison,but,mid,"i do too, but i can never seem to find a simple, classic riding boot that i like.",I prefer a classic riding boot most of the time.
"well, a lot of students go for the typical business suit ",are being told they need something to make themselves stand out.,comparison,but,mid,"well, a lot of students go for the typical business suit but are being told they need something to make themselves stand out.",What are students wearing now when it comes to interviews?
