arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
"i know her song dirty and beautiful, ",that's about it.,comparison,but,mid,"i don't know much of her stuff. i know her song dirty and beautiful, but that's about it.",Mostly pop. Do you like Christina Aguilera?,nAnswer,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('Thing', 331.55284925, 'Her Song')]",[],['entertainment'],['tech'],['Music'],['Phatic'],None,None,['music'],[],[],[],None,None,"[{'name': 'song', 'id': 340, 'status': None, 'engaged': [], 'lexeme': 'song', 'alias': ['song'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3b6bd0da0>}, 'gkg': 'kg:/g/11bv5zk1qm', 'granular_actor_types': {'communication': 0.23076923076923078}, 'granular_entity_types': {'song by jake holmes': 1}, 'gkg_name': 'Her Song', 'gkg_type': ['Thing']}]","[{'name': 'song', 'id': 340, 'status': None, 'engaged': [], 'lexeme': 'song', 'alias': ['song'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3b6bd0da0>}, 'gkg': 'kg:/g/11bv5zk1qm', 'granular_actor_types': {'communication': 0.23076923076923078}, 'granular_entity_types': {'song by jake holmes': 1}, 'gkg_name': 'Her Song', 'gkg_type': ['Thing']}]",Her Song,,,,"[('Thing', 331.55284925, 'Her Song')]",[],True,True
"i don't have glory, ","i have britney jean, britney the remixes, and circus.",comparison,but,mid,"i don't have glory, but i have britney jean, britney the remixes, and circus.","I do! I actually have them all, even Glory which is her newest one.",Reject,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],"[('MusicAlbum', 819.320618, 'Britney Jean'), ('MusicAlbum', 602.7413262499999, 'The Remixes')]",['sport'],['entertainment'],['Phatic'],['Art_Event'],None,None,[],[],[],['long_parse_time'],None,None,"[{'name': None, 'id': 341, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['glory'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a78f0e48>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'britney jean', 'id': 342, 'status': None, 'engaged': [], 'lexeme': 'britney jean', 'alias': ['britney jean'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a78e84e0>}, 'gkg': 'kg:/m/0y70576', 'granular_actor_types': {}, 'granular_entity_types': {'studio album by britney spears': 1}, 'gkg_name': 'Britney Jean', 'gkg_type': ['MusicAlbum']}, {'name': 'the remixes', 'id': 344, 'status': None, 'engaged': [], 'lexeme': 'the remixes', 'alias': ['the remixes'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a7b17668>}, 'gkg': 'kg:/m/01hb70k', 'granular_actor_types': {}, 'granular_entity_types': {'album by mariah carey': 1}, 'gkg_name': 'The Remixes', 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 343, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['britney'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a7834438>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 345, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['circus'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a585d8d0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 341, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['glory'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a78f0e48>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,"The Remixes, Britney Jean",glory,"britney, circus",[],"[('MusicAlbum', 819.320618, 'Britney Jean'), ('MusicAlbum', 602.7413262499999, 'The Remixes')]",True,True
"well, i wasn't expecting that answer, ",i can see why you like it.,comparison,but,mid,"well, i wasn't expecting that answer, but i can see why you like it.",All Sons and Daughters.,Statement,Statement,None,None,"('Positive', 1.0)","('Positive', 1.0)",[],"[('Book', 673.815, 'As You Like It')]",['sport'],['sport'],['Movies_TV'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 346, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['that answer'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a7825668>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'britney jean', 'id': 342, 'status': None, 'engaged': [], 'lexeme': 'britney jean', 'alias': ['britney jean'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a78e84e0>}, 'gkg': 'kg:/m/0y70576', 'granular_actor_types': {}, 'granular_entity_types': {'studio album by britney spears': 1}, 'gkg_name': 'Britney Jean', 'gkg_type': ['MusicAlbum']}, {'name': 'the remixes', 'id': 344, 'status': None, 'engaged': [], 'lexeme': 'the remixes', 'alias': ['the remixes'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a7b17668>}, 'gkg': 'kg:/m/01hb70k', 'granular_actor_types': {}, 'granular_entity_types': {'album by mariah carey': 1}, 'gkg_name': 'The Remixes', 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 343, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['britney'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a7834438>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 345, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['circus'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a585d8d0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'like', 'id': 347, 'status': None, 'engaged': [], 'lexeme': 'like', 'alias': ['like'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a7825748>}, 'gkg': 'kg:/m/0bdc4', 'granular_actor_types': {'idea': 0.43478260869565216}, 'granular_entity_types': {'play by william shakespeare': 1}, 'gkg_name': 'As You Like It', 'gkg_type': ['Book']}, {'name': None, 'id': 346, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['that answer'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a7825668>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,As You Like It,that answer,,[],"[('Book', 673.815, 'As You Like It')]",True,True
"it's really different stuff, sort of between alternative rock and pop, ",they're really fun to listen to.,comparison,but,mid,"they're fantastic. i can lend you their album. it's really different stuff, sort of between alternative rock and pop, but they're really fun to listen to.","Oh, Animal, I've heard that song! Are they good?",Other,Statement,None,None,"('Positive', 1.0)","('Positive', 1.0)",[],"[('Movie', 269.204025125, 'Listen to Me'), ('Thing', 414.94500000000005, 'to listen to')]",['entertainment'],['entertainment'],['SciTech'],['Movies_TV'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 348, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['really different stuff , sort of between alternative rock and pop'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a585d7b8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'like', 'id': 347, 'status': None, 'engaged': [], 'lexeme': 'like', 'alias': ['like'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a7825748>}, 'gkg': 'kg:/m/0bdc4', 'granular_actor_types': {'idea': 0.43478260869565216}, 'granular_entity_types': {'play by william shakespeare': 1}, 'gkg_name': 'As You Like It', 'gkg_type': ['Book']}]","[{'name': None, 'id': 349, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['fun'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582be10>}, 'gkg': None, 'granular_actor_types': {'act': 0.3333333333333333, 'event': 0.26666666666666666}, 'granular_entity_types': {}}, {'name': None, 'id': 350, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['to listen to'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582bcf8>}, 'gkg': 'kg:/g/11f5rcd893', 'granular_actor_types': {}, 'granular_entity_types': {'song by jan garbarek group': 1}, 'gkg_name': 'to listen to', 'gkg_type': ['Thing']}, {'name': None, 'id': 348, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['really different stuff , sort of between alternative rock and pop'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a585d7b8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,"Listen to Me, to listen to",,fun,[],"[('Movie', 269.204025125, 'Listen to Me'), ('Thing', 414.94500000000005, 'to listen to')]",True,True
i like some of her songs ,they're fun.,contingency,because,mid,that meghan trainor girl seems to have a really good voice as well. i like some of her songs because they're fun.,You can say that again. That woman's got some pipes on her.,Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)","[('MusicAlbum', 257.44425, 'Her Songs')]",[],['entertainment'],['entertainment'],['Music'],['Movies_TV'],None,None,['music'],[],['opinion_provide_pos_patterns_songs'],[],None,None,"[{'name': 'songs', 'id': 351, 'status': None, 'engaged': [], 'lexeme': 'songs', 'alias': ['songs'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a77c0048>}, 'gkg': 'kg:/m/01lq69t', 'granular_actor_types': {'communication': 0.23076923076923078}, 'granular_entity_types': {'album by tiger huang': 1}, 'gkg_name': 'Her Songs', 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 349, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['fun'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582be10>}, 'gkg': None, 'granular_actor_types': {'act': 0.3333333333333333, 'event': 0.26666666666666666}, 'granular_entity_types': {}}, {'name': None, 'id': 350, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['to listen to'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582bcf8>}, 'gkg': 'kg:/g/11f5rcd893', 'granular_actor_types': {}, 'granular_entity_types': {'song by jan garbarek group': 1}, 'gkg_name': 'to listen to', 'gkg_type': ['Thing']}]","[{'name': None, 'id': 349, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['fun'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582be10>}, 'gkg': None, 'granular_actor_types': {'act': 0.3333333333333333, 'event': 0.26666666666666666}, 'granular_entity_types': {}}, {'name': 'songs', 'id': 351, 'status': None, 'engaged': [], 'lexeme': 'songs', 'alias': ['songs'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a77c0048>}, 'gkg': 'kg:/m/01lq69t', 'granular_actor_types': {'communication': 0.23076923076923078}, 'granular_entity_types': {'album by tiger huang': 1}, 'gkg_name': 'Her Songs', 'gkg_type': ['MusicAlbum']}]",Her Songs,,,fun,"[('MusicAlbum', 257.44425, 'Her Songs')]",[],True,True
"i agree, i had a chance to listen to our whole album ",a lot of the songs on there really fun and made you want to dance,expansion,and,mid,"i agree, i had a chance to listen to our whole album and a lot of the songs on there really fun and made you want to dance",That Meghan Trainor girl seems to have a really good voice as well. I like some of her songs because they're fun.,nAnswer,Emphasis,None,None,"('Positive', 1.0)","('Positive', 1.0)",[],"[('LocalBusiness', 402.765125, 'Save-A-Lot'), ('TVSeries', 291.63110725, 'Got to Dance')]",['entertainment'],['entertainment'],['Music'],['Entertainment'],None,None,[],['music'],[],['long_parse_time'],None,None,"[{'name': None, 'id': 352, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a chance'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a5878eb8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 349, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['fun'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582be10>}, 'gkg': None, 'granular_actor_types': {'act': 0.3333333333333333, 'event': 0.26666666666666666}, 'granular_entity_types': {}}]","[{'name': 'a lot', 'id': 353, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a580f908>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': None, 'id': 354, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['the songs'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a581ffd0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 349, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['fun'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582be10>}, 'gkg': None, 'granular_actor_types': {'act': 0.3333333333333333, 'event': 0.26666666666666666}, 'granular_entity_types': {}}, {'name': 'to dance', 'id': 355, 'status': None, 'engaged': [], 'lexeme': 'to dance', 'alias': ['to dance'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582ad30>}, 'gkg': 'kg:/m/080mg0p', 'granular_actor_types': {}, 'granular_entity_types': {'tv show': 1}, 'gkg_name': 'Got to Dance', 'gkg_type': ['TVSeries']}, {'name': None, 'id': 352, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a chance'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a5878eb8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,"Got to Dance, Save-A-Lot",a chance,"the songs, fun",[],"[('LocalBusiness', 402.765125, 'Save-A-Lot'), ('TVSeries', 291.63110725, 'Got to Dance')]",True,True
i think she has a decent voice ,i deathly think there's a lot of help behind it.,comparison,but,mid,not a huge fan there. i think she has a decent voice but i deathly think there's a lot of help behind it.,What about someone like Reanna.,Clarify,Statement,None,None,"('Positive', 1.0)","('Negative', 1.0)",[],"[('LocalBusiness', 402.765125, 'Save-A-Lot')]",['sport'],['sport'],['Phatic'],['Psychology'],None,None,[],[],[],['menu_request'],None,None,"[{'name': None, 'id': 356, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['voice'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a581f668>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'a lot', 'id': 353, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a580f908>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': None, 'id': 354, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['the songs'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a581ffd0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 349, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['fun'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582be10>}, 'gkg': None, 'granular_actor_types': {'act': 0.3333333333333333, 'event': 0.26666666666666666}, 'granular_entity_types': {}}, {'name': 'to dance', 'id': 355, 'status': None, 'engaged': [], 'lexeme': 'to dance', 'alias': ['to dance'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582ad30>}, 'gkg': 'kg:/m/080mg0p', 'granular_actor_types': {}, 'granular_entity_types': {'tv show': 1}, 'gkg_name': 'Got to Dance', 'gkg_type': ['TVSeries']}]","[{'name': None, 'id': 357, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['help'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a5833358>}, 'gkg': None, 'granular_actor_types': {'act': 0.35714285714285715, 'event': 0.2857142857142857}, 'granular_entity_types': {}}, {'name': 'a lot', 'id': 353, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a580f908>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': None, 'id': 356, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['voice'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a581f668>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,Save-A-Lot,voice,help,[],"[('LocalBusiness', 402.765125, 'Save-A-Lot')]",True,True
"she was like, she didn't get accepted by the black community ",she doesn't appear to be fully black.,contingency,because,mid,"she was like, she didn't get accepted by the black community because she doesn't appear to be fully black.","Ah, yes, her! What did she say?",Statement,Statement,None,None,"('Negative', 1.0)","('Negative', 1.0)","[('Book', 494.72502475000005, 'The Black community')]",[],['entertainment'],['entertainment'],['Other'],['Other'],None,None,[],[],[],[],None,None,"[{'name': 'the black community', 'id': 358, 'status': None, 'engaged': [], 'lexeme': 'the black community', 'alias': ['the black community'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582aa20>}, 'gkg': 'kg:/m/06l5w_3', 'granular_actor_types': {}, 'granular_entity_types': {'book by james blackwell': 1}, 'gkg_name': 'The Black community', 'gkg_type': ['Book']}, {'name': None, 'id': 357, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['help'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a5833358>}, 'gkg': None, 'granular_actor_types': {'act': 0.35714285714285715, 'event': 0.2857142857142857}, 'granular_entity_types': {}}, {'name': 'a lot', 'id': 353, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a580f908>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}]","[{'name': 'the black community', 'id': 358, 'status': None, 'engaged': [], 'lexeme': 'the black community', 'alias': ['the black community'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582aa20>}, 'gkg': 'kg:/m/06l5w_3', 'granular_actor_types': {}, 'granular_entity_types': {'book by james blackwell': 1}, 'gkg_name': 'The Black community', 'gkg_type': ['Book']}]",The Black community,,,,"[('Book', 494.72502475000005, 'The Black community')]",[],True,True
"i know she's a trained dancer, ",her voice is really nice actually.,comparison,but,mid,"i know she's a trained dancer, but her voice is really nice actually.",Oh yeah? How so?,Statement,Clarify,None,None,"('Negative', 1.0)","('Positive', 1.0)",[],"[('Thing', 276.724, 'Her Voice')]",['sport'],['sport'],['Pets_Animals'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 359, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a trained dancer'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a57f8550>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'voice', 'id': 356, 'status': None, 'engaged': [], 'lexeme': 'voice', 'alias': ['voice'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a581f668>}, 'gkg': 'kg:/g/11dfx_z5p3', 'granular_actor_types': {}, 'granular_entity_types': {'song by builder': 1}, 'gkg_name': 'Her Voice', 'gkg_type': ['Thing']}, {'name': None, 'id': 359, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a trained dancer'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a57f8550>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,Her Voice,a trained dancer,,[],"[('Thing', 276.724, 'Her Voice')]",True,True
"the newer stuff is alright, ",nothing like the old music they did.,comparison,but,mid,"the newer stuff is alright, but nothing like the old music they did.","I really like the older stuff they did, I have not heard any of their newer music though.",Statement,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)","[('Thing', 307.2055, 'is alright'), ('MusicAlbum', 497.54258400000003, 'The Newer Stuff')]","[('Thing', 964.292, 'nothing like')]",['sport'],['entertainment'],['SciTech'],['Music'],None,None,[],['music'],[],['long_parse_time'],None,None,"[{'name': 'the newer stuff', 'id': 360, 'status': None, 'engaged': [], 'lexeme': 'the newer stuff', 'alias': ['the newer stuff'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a57f8c50>}, 'gkg': 'kg:/m/01p45y2', 'granular_actor_types': {}, 'granular_entity_types': {'compilation album by michael nesmith': 1}, 'gkg_name': 'The Newer Stuff', 'gkg_type': ['MusicAlbum']}, {'name': 'is alright', 'id': 361, 'status': None, 'engaged': [], 'lexeme': 'is alright', 'alias': ['is alright'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a57f8f28>}, 'gkg': 'kg:/g/1q5j3gvb4', 'granular_actor_types': {}, 'granular_entity_types': {'song by c.j. lewis': 1}, 'gkg_name': 'is alright', 'gkg_type': ['Thing']}, {'name': 'voice', 'id': 356, 'status': None, 'engaged': [], 'lexeme': 'voice', 'alias': ['voice'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a581f668>}, 'gkg': 'kg:/g/11dfx_z5p3', 'granular_actor_types': {}, 'granular_entity_types': {'song by builder': 1}, 'gkg_name': 'Her Voice', 'gkg_type': ['Thing']}]","[{'name': 'nothing like', 'id': 362, 'status': None, 'engaged': [], 'lexeme': 'nothing like', 'alias': ['nothing like'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a582a518>}, 'gkg': 'kg:/g/1s05m_3h3', 'granular_actor_types': {}, 'granular_entity_types': {'song by marvin gaye and tammi terrell': 1}, 'gkg_name': 'nothing like', 'gkg_type': ['Thing']}, {'name': 'music', 'id': 221, 'status': None, 'engaged': [], 'lexeme': 'music', 'alias': ['music'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3ac5e6f60>}, 'gkg': None, 'granular_actor_types': {'communication': 0.5}, 'granular_entity_types': {}}, {'name': 'the newer stuff', 'id': 360, 'status': None, 'engaged': [], 'lexeme': 'the newer stuff', 'alias': ['the newer stuff'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a57f8c50>}, 'gkg': 'kg:/m/01p45y2', 'granular_actor_types': {}, 'granular_entity_types': {'compilation album by michael nesmith': 1}, 'gkg_name': 'The Newer Stuff', 'gkg_type': ['MusicAlbum']}, {'name': 'is alright', 'id': 361, 'status': None, 'engaged': [], 'lexeme': 'is alright', 'alias': ['is alright'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fe3a57f8f28>}, 'gkg': 'kg:/g/1q5j3gvb4', 'granular_actor_types': {}, 'granular_entity_types': {'song by c.j. lewis': 1}, 'gkg_name': 'is alright', 'gkg_type': ['Thing']}]","is alright, The Newer Stuff",nothing like,,music,"[('Thing', 307.2055, 'is alright'), ('MusicAlbum', 497.54258400000003, 'The Newer Stuff')]","[('Thing', 964.292, 'nothing like')]",True,True
