arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
I don't wear flat shoes.,they were so cute.,comparison,but,begin,but they were so cute. there was one that was red and white.,Flat shoes are not good for your feet.  I don't wear flat shoes.,Reject,Statement,None,None,"('Negative', 1.0)","('Positive', 1.0)","[('Thing', 301.987702, 'flat shoes')]",[],['sport'],['sport'],['Fashion'],['Other'],None,None,[],[],[],[],None,None,"[{'name': 'flat shoes', 'id': 2019, 'status': None, 'engaged': [], 'lexeme': 'flat shoes', 'alias': ['flat shoes'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6eb2080>}, 'gkg': 'kg:/g/11b6nvp4kn', 'granular_actor_types': {}, 'granular_entity_types': {'song by cradle edge': 1}, 'gkg_name': 'flat shoes', 'gkg_type': ['Thing']}, {'name': None, 'id': 2018, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['resource'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4e4cf98>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2009, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['zoey'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4e88438>, 'family': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4d6ba58>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'flat shoes', 'id': 2019, 'status': None, 'engaged': [], 'lexeme': 'flat shoes', 'alias': ['flat shoes'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6eb2080>}, 'gkg': 'kg:/g/11b6nvp4kn', 'granular_actor_types': {}, 'granular_entity_types': {'song by cradle edge': 1}, 'gkg_name': 'flat shoes', 'gkg_type': ['Thing']}]",flat shoes,,,,"[('Thing', 301.987702, 'flat shoes')]",[],True,True
like why wear a long-sleeved top ,have a bit cut out?,comparison,but,mid,"it just looks impractical, you know? like why wear a long-sleeved top but have a bit cut out?",Why not?,Statement,ynQuestion,None,None,"('Negative', 1.0)","('Neutral', 1.0)",[],"[('Book', 214.031125, 'A Bit Lost'), ('Book', 301.79165975, 'Cut Out')]",['sport'],['sport'],['Weather_Time'],['Travel_Geo'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2020, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['top'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5d073c8>}, 'gkg': None, 'granular_actor_types': {'region': 0.625, 'location': 0.5, 'object': 0.25}, 'granular_entity_types': {}}]","[{'name': 'a bit', 'id': 432, 'status': None, 'engaged': [], 'lexeme': 'a bit', 'alias': ['a bit'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c71860b8>}, 'gkg': 'kg:/m/0pcp_ld', 'granular_actor_types': {}, 'granular_entity_types': {'book by chris haughton': 1}, 'gkg_name': 'A Bit Lost', 'gkg_type': ['Book']}, {'name': 'cut out', 'id': 2021, 'status': None, 'engaged': [], 'lexeme': 'cut out', 'alias': ['cut out'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6814828>}, 'gkg': 'kg:/m/04wcmkm', 'granular_actor_types': {}, 'granular_entity_types': {'book by christopher g. moore': 1}, 'gkg_name': 'Cut Out', 'gkg_type': ['Book']}, {'name': None, 'id': 2020, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['top'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5d073c8>}, 'gkg': None, 'granular_actor_types': {'region': 0.625, 'location': 0.5, 'object': 0.25}, 'granular_entity_types': {}}]",,"A Bit Lost, Cut Out",top,,[],"[('Book', 214.031125, 'A Bit Lost'), ('Book', 301.79165975, 'Cut Out')]",True,True
"i guess so, ",it's not for me.,comparison,but,mid,"i guess so, but it's not for me.","It's like a neutral, but more fun!",Statement,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],[],['sport'],['sport'],['Math'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 810, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['guess'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c65ab710>}, 'gkg': None, 'granular_actor_types': {'communication': 0.17647058823529413}, 'granular_entity_types': {}}, {'name': 'a bit', 'id': 432, 'status': None, 'engaged': [], 'lexeme': 'a bit', 'alias': ['a bit'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c71860b8>}, 'gkg': 'kg:/m/0pcp_ld', 'granular_actor_types': {}, 'granular_entity_types': {'book by chris haughton': 1}, 'gkg_name': 'A Bit Lost', 'gkg_type': ['Book']}, {'name': 'cut out', 'id': 2021, 'status': None, 'engaged': [], 'lexeme': 'cut out', 'alias': ['cut out'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6814828>}, 'gkg': 'kg:/m/04wcmkm', 'granular_actor_types': {}, 'granular_entity_types': {'book by christopher g. moore': 1}, 'gkg_name': 'Cut Out', 'gkg_type': ['Book']}]","[{'name': None, 'id': 810, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['guess'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c65ab710>}, 'gkg': None, 'granular_actor_types': {'communication': 0.17647058823529413}, 'granular_entity_types': {}}]",,,guess,,[],[],True,True
"i could try minimalist for a while, ",i really like owning a lot of clothes.,comparison,but,mid,"i could try minimalist for a while, but i really like owning a lot of clothes.","It's normal size, just not very full. I have like 5 shirts, 2 pairs of pants, and 2 pairs of shoes.",Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)","[('Thing', 511.29, 'a while')]","[('Book', 150.00156412500002, 'Psychology of Clothes'), ('LocalBusiness', 402.765125, 'Save-A-Lot')]",['sport'],['sport'],['Other'],['Pets_Animals'],None,None,[],[],['invoke_games_NumberGame'],[],None,None,"[{'name': 'a while', 'id': 2022, 'status': None, 'engaged': [], 'lexeme': 'a while', 'alias': ['a while'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c590f4e0>}, 'gkg': 'kg:/g/11b_3f06cg', 'granular_actor_types': {'time': 0.6875, 'time_period': 0.5}, 'granular_entity_types': {'song by dimitri vegas &amp; like mike': 1}, 'gkg_name': 'a while', 'gkg_type': ['Thing']}]","[{'name': 'of clothes', 'id': 2023, 'status': None, 'engaged': [], 'lexeme': 'of clothes', 'alias': ['of clothes'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6107cf8>}, 'gkg': 'kg:/m/06m9hyt', 'granular_actor_types': {}, 'granular_entity_types': {'book by john flügel': 1}, 'gkg_name': 'Psychology of Clothes', 'gkg_type': ['Book']}, {'name': 'a lot', 'id': 419, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c719e5f8>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': 'a while', 'id': 2022, 'status': None, 'engaged': [], 'lexeme': 'a while', 'alias': ['a while'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c590f4e0>}, 'gkg': 'kg:/g/11b_3f06cg', 'granular_actor_types': {'time': 0.6875, 'time_period': 0.5}, 'granular_entity_types': {'song by dimitri vegas &amp; like mike': 1}, 'gkg_name': 'a while', 'gkg_type': ['Thing']}]",a while,"Psychology of Clothes, Save-A-Lot",,,"[('Thing', 511.29, 'a while')]","[('Book', 150.00156412500002, 'Psychology of Clothes'), ('LocalBusiness', 402.765125, 'Save-A-Lot')]",True,True
"i""ve never heard of him ",i'll look him up later!,comparison,but,mid,"i""ve never heard of him but i'll look him up later!",I like Alexander Mcqueen pretty much.,Statement,Emphasis,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('Thing', 451.7065, 'Never Heard of Him')]",[],['sport'],['sport'],['Other'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'never heard of', 'id': 922, 'status': None, 'engaged': [], 'lexeme': 'never heard of', 'alias': ['never heard of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6d2e588>}, 'gkg': 'kg:/m/01pfswp', 'granular_actor_types': {}, 'granular_entity_types': {'musical group': 1}, 'gkg_name': 'Never Heard of It', 'gkg_type': ['MusicGroup']}, {'name': 'of clothes', 'id': 2023, 'status': None, 'engaged': [], 'lexeme': 'of clothes', 'alias': ['of clothes'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6107cf8>}, 'gkg': 'kg:/m/06m9hyt', 'granular_actor_types': {}, 'granular_entity_types': {'book by john flügel': 1}, 'gkg_name': 'Psychology of Clothes', 'gkg_type': ['Book']}, {'name': 'a lot', 'id': 419, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c719e5f8>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}]","[{'name': 'never heard of', 'id': 922, 'status': None, 'engaged': [], 'lexeme': 'never heard of', 'alias': ['never heard of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6d2e588>}, 'gkg': 'kg:/m/01pfswp', 'granular_actor_types': {}, 'granular_entity_types': {'musical group': 1}, 'gkg_name': 'Never Heard of It', 'gkg_type': ['MusicGroup']}]",Never Heard of Him,,,,"[('Thing', 451.7065, 'Never Heard of Him')]",[],True,True
i think some companies like lulu roe and buskins have great quality products ,there's a lot of copy cats with poor quality.,comparison,but,mid,i think some companies like lulu roe and buskins have great quality products but there's a lot of copy cats with poor quality.,With so many companies using marketing sales and pop up stores do you believe they are all the same?,Statement,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],"[('MusicAlbum', 470.063508, 'Copy Cats'), ('LocalBusiness', 402.765125, 'Save-A-Lot')]",['sport'],['sport'],['Other'],['Pets_Animals'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2024, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['some companies like lulu roe'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c750ba90>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2025, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['buskin'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6493518>}, 'gkg': None, 'granular_actor_types': {'object': 0.11764705882352941}, 'granular_entity_types': {}}, {'name': None, 'id': 2026, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['quality products'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c645c470>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'copy cats', 'id': 2027, 'status': None, 'engaged': [], 'lexeme': 'copy cats', 'alias': ['copy cats'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5bb79e8>}, 'gkg': 'kg:/m/0fqtrh3', 'granular_actor_types': {}, 'granular_entity_types': {'album by johnny thunders': 1}, 'gkg_name': 'Copy Cats', 'gkg_type': ['MusicAlbum']}, {'name': 'a lot', 'id': 419, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c719e5f8>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': None, 'id': 857, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['with', 'dudes', 'a really good story', 'elements', 'quality'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64914a8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2024, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['some companies like lulu roe'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c750ba90>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2025, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['buskin'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6493518>}, 'gkg': None, 'granular_actor_types': {'object': 0.11764705882352941}, 'granular_entity_types': {}}, {'name': None, 'id': 2026, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['quality products'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c645c470>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,"Save-A-Lot, Copy Cats","some companies like lulu roe, buskin, quality products",with,[],"[('MusicAlbum', 470.063508, 'Copy Cats'), ('LocalBusiness', 402.765125, 'Save-A-Lot')]",True,True
i happen love my buskins ,"of the price, free shipping benefit, and they aren't sheer at all.",contingency,because,mid,"i happen love my buskins because of the price, free shipping benefit, and they aren't sheer at all.",I think all body types are good for them as long as the style is coordinated right. Anyone can pull them off with the right top!,Statement,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],"[('Book', 703.090752, 'The Price')]",['sport'],['entertainment'],['Other'],['Other'],None,None,[],[],[],[],None,None,"[{'name': 'love', 'id': 482, 'status': None, 'engaged': [], 'lexeme': 'love', 'alias': ['love'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6f4da58>}, 'gkg': 'kg:/m/026409p', 'granular_actor_types': {'feeling': 0.625}, 'granular_entity_types': {'soundtrack album by the beatles': 1}, 'gkg_name': 'Love', 'gkg_type': ['MusicAlbum']}, {'name': 'copy cats', 'id': 2027, 'status': None, 'engaged': [], 'lexeme': 'copy cats', 'alias': ['copy cats'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5bb79e8>}, 'gkg': 'kg:/m/0fqtrh3', 'granular_actor_types': {}, 'granular_entity_types': {'album by johnny thunders': 1}, 'gkg_name': 'Copy Cats', 'gkg_type': ['MusicAlbum']}, {'name': 'a lot', 'id': 419, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c719e5f8>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': None, 'id': 857, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['with', 'dudes', 'a really good story', 'elements', 'quality'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64914a8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'the price', 'id': 2029, 'status': None, 'engaged': [], 'lexeme': 'the price', 'alias': ['the price'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c55d4278>}, 'gkg': 'kg:/m/02pdkx1', 'granular_actor_types': {}, 'granular_entity_types': {'play by arthur miller': 1}, 'gkg_name': 'The Price', 'gkg_type': ['Book']}, {'name': None, 'id': 2030, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['shipping benefit'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5b59b70>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'love', 'id': 482, 'status': None, 'engaged': [], 'lexeme': 'love', 'alias': ['love'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6f4da58>}, 'gkg': 'kg:/m/026409p', 'granular_actor_types': {'feeling': 0.625}, 'granular_entity_types': {'soundtrack album by the beatles': 1}, 'gkg_name': 'Love', 'gkg_type': ['MusicAlbum']}]",,The Price,,shipping benefit,[],"[('Book', 703.090752, 'The Price')]",True,True
some i wear with sandals ,mainly boots and a short dress.,comparison,but,mid,some i wear with sandals but mainly boots and a short dress. it gives it that edgy look.,Which is better to go with them? Boots or sandals?,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],[],['sport'],['business'],['Phatic'],['Fashion'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2031, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['sandal'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b9978>}, 'gkg': None, 'granular_actor_types': {'object': 0.15384615384615385}, 'granular_entity_types': {}}, {'name': 'the price', 'id': 2029, 'status': None, 'engaged': [], 'lexeme': 'the price', 'alias': ['the price'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c55d4278>}, 'gkg': 'kg:/m/02pdkx1', 'granular_actor_types': {}, 'granular_entity_types': {'play by arthur miller': 1}, 'gkg_name': 'The Price', 'gkg_type': ['Book']}, {'name': None, 'id': 2030, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['shipping benefit'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5b59b70>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 2032, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['boot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4fd8860>}, 'gkg': None, 'granular_actor_types': {'object': 0.16666666666666666}, 'granular_entity_types': {}}, {'name': None, 'id': 2033, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['dress'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6dd5c88>}, 'gkg': None, 'granular_actor_types': {'object': 0.09523809523809523}, 'granular_entity_types': {}}, {'name': None, 'id': 2031, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['sandal'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b9978>}, 'gkg': None, 'granular_actor_types': {'object': 0.15384615384615385}, 'granular_entity_types': {}}]",,,sandal,"boot, dress",[],[],True,True
well shes a model ,she has to wear all those weird outfits.,contingency,so,mid,well shes a model so she has to wear all those weird outfits.,Kendall Jenner dresses nice.,Statement,Statement,None,None,"('Positive', 1.0)","('Negative', 1.0)","[('VisualArtwork', 344.05716625, 'A Model')]",[],['sport'],['sport'],['Other'],['Other'],None,None,[],[],[],[],None,None,"[{'name': 'a model', 'id': 2034, 'status': None, 'engaged': [], 'lexeme': 'a model', 'alias': ['a model'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b0cc0>}, 'gkg': 'kg:/g/11cktgrfpm', 'granular_actor_types': {'idea': 0.47619047619047616}, 'granular_entity_types': {'artwork': 1}, 'gkg_name': 'A Model', 'gkg_type': ['VisualArtwork']}, {'name': None, 'id': 2032, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['boot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4fd8860>}, 'gkg': None, 'granular_actor_types': {'object': 0.16666666666666666}, 'granular_entity_types': {}}, {'name': None, 'id': 2033, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['dress'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6dd5c88>}, 'gkg': None, 'granular_actor_types': {'object': 0.09523809523809523}, 'granular_entity_types': {}}]","[{'name': 'all those', 'id': 1399, 'status': None, 'engaged': [], 'lexeme': 'all those', 'alias': ['all those', 'males', 'outfits'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c58da278>}, 'gkg': 'kg:/g/1s05pv2r7', 'granular_actor_types': {}, 'granular_entity_types': {'song by pearl jam': 1}, 'gkg_name': 'All Those Yesterdays', 'gkg_type': ['Thing']}, {'name': 'a model', 'id': 2034, 'status': None, 'engaged': [], 'lexeme': 'a model', 'alias': ['a model'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b0cc0>}, 'gkg': 'kg:/g/11cktgrfpm', 'granular_actor_types': {'idea': 0.47619047619047616}, 'granular_entity_types': {'artwork': 1}, 'gkg_name': 'A Model', 'gkg_type': ['VisualArtwork']}]",A Model,,,,"[('VisualArtwork', 344.05716625, 'A Model')]",[],True,True
i was going to wear it to a bar or club ,i haven't had the chance yet.,comparison,but,mid,i was going to wear it to a bar or club but i haven't had the chance yet.,I bet it's gorgeous. Where do you wear it?,Clarify,Statement,None,None,"('Negative', 1.0)","('Neutral', 1.0)",[],"[('CivicStructure', 640.99525, 'the chance')]",['sport'],['sport'],['Art_Event'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2035, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a bar'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66d9860>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2036, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['club'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4de87f0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'all those', 'id': 1399, 'status': None, 'engaged': [], 'lexeme': 'all those', 'alias': ['all those', 'males', 'outfits'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c58da278>}, 'gkg': 'kg:/g/1s05pv2r7', 'granular_actor_types': {}, 'granular_entity_types': {'song by pearl jam': 1}, 'gkg_name': 'All Those Yesterdays', 'gkg_type': ['Thing']}]","[{'name': 'the chance', 'id': 2037, 'status': None, 'engaged': [], 'lexeme': 'the chance', 'alias': ['the chance'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c500ee10>}, 'gkg': 'kg:/m/0k0v3nl', 'granular_actor_types': {}, 'granular_entity_types': {'theater in poughkeepsie, new york': 1}, 'gkg_name': 'the chance', 'gkg_type': ['CivicStructure', 'Thing', 'Place']}, {'name': None, 'id': 2035, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a bar'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66d9860>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2036, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['club'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4de87f0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,the chance,"a bar, club",,[],"[('CivicStructure', 640.99525, 'the chance')]",True,True
